	en	fr	es	el
info_invid_part_1	InVID was a Horizon 2020 innovation action funded by the European Union under grant agreement 687786 (2016-2018). For more information, visit the 	InVID est un projet financé par le programme Horizon 2020 de l'Union Européenne, sous l'accord de subvention 687786 (2016-2018). Pour plus d'information sur le projet, visitez le	InVID fue una acción de innovación financiada por el programa cuadro Horizonte 2020 de la Unión Europea bajo el acuerdo de subvención 687786. Para más información, visite nuestra página web	Το InVID ήταν μια δράση καινοτομίας του προγράμματος «Ορίζοντας 2020» που χρηματοδοτήθηκε από την Ευρωπαϊκή Ένωση βάσει της σύμβασης επιχορήγησης 687786 (2016-2018). Για περισσότερες πληροφορίες, επισκεφθείτε τον
info_invid_website	InVID website 	site InVID 	InVID sitio web 	ιστοχώρο του InVID 
info_invid_link_website	http://www.invid-project.eu/	http://www.invid-project.eu/	http://www.invid-project.eu/	http://www.invid-project.eu/
info_invid_part_2	or follow us on 	ou suivez-nous sur 	o síganos en 	ή ακολουθήστε μας στο 
twitter	Twitter	Twitter	Twitter	Twitter
info_invid_link_twitter	https://twitter.com/InVID_EU	https://twitter.com/InVID_EU	https://twitter.com/InVID_EU	https://twitter.com/InVID_EU
info_invid_part_3	.	.	.	.
info_weverify_part_1	WeVerify is a Horizon 2020 innovation action funded by the European Union under grant agreement 825297 (2018-2021). For more information, visit our 	WeVerify est un projet Horizon 2020 financé par l'Union Européenne sous l'accord de subvention 825297 (2018-2021). Pour plus d'information sur ce nouveau projet, visitez le 	WeVerify es una acción de innovación financiada por el programa cuadro Horizonte 2020 de la Unión Europea bajo el acuerdo de subvención 825297 (2018-2021). Para más información, visite nuestra página web 	Το WeVerify είναι μια νέα δράση καινοτομίας του προγράμματος «Ορίζοντας 2020» που χρηματοδοτείται από την Ευρωπαϊκή Ένωση βάσει της σύμβασης επιχορήγησης 825297 (2018-2021). Για περισσότερες πληροφορίες, επισκεφθείτε τον 
info_weverify_website	WeVerify website	site WeVerify	WeVerify sitio web	ιστοχώρο WeVerify
info_weverify_link_website	https://weverify.eu/	https://weverify.eu/	https://weverify.eu/	https://weverify.eu/
info_weverify_part_2	 or follow us on 	 ou suivez-nous sur 	 o síganos en 	 ή ακολουθήστε μας στο 
info_weverify_link_twitter	https://twitter.com/WeVerify	https://twitter.com/WeVerify	https://twitter.com/WeVerify	https://twitter.com/WeVerify
developed_text_part_1	The initial versions (0.1-0.7) of this plugin have been developed by	Les premières versions (0.1-0.7) de cette extension ont été développées par le	Las primeras versiones (0.1-0.7) de esta extensión han sido desarrolladas por el	Οι αρχικές εκδόσεις (0.1-0.7) αυτού του λογισμικού έχουν αναπτυχθεί από το
medialab_link_label	 AFP Medialab 	 Medialab de l'AFP 	 Medialab de AFP 	 AFP Medialab 
medialab_link	https://www.afp.com/en/medialab/	https://www.afp.com/en/medialab/	https://www.afp.com/en/medialab/	https://www.afp.com/en/medialab/
developed_text_part_2	(Denis TEYSSOU, Bertrand GOUPIL, Dominique FERRANDINI) with the help of many developers in the last four years (Laurent LACROIX, Eric SCHAEFFER, Jean-Michel LEUNG, Nathan GOYAT, Axel VIGNY, Juliette CASTERAN, Thibault LHUILLIER, Duyen THI DO, Anatole ROULET, Marius POPARASCU, Enrique NIETO ARRANZ and Muneerah PATEL). The underlying services are provided by 	(Denis TEYSSOU, Bertrand GOUPIL, Dominique FERRANDINI) avec l'aide de nombreux développeurs au cours des quatre dernières années (Laurent LACROIX, Eric SCHAEFFER, Jean-Michel LEUNG, Nathan GOYAT, Axel VIGNY, Juliette CASTERAN, Thibault LHUILLIER, Duyen THI DO, Anatole ROULET, Marius POPARASCU, Enrique NIETO ARRANZ et Muneerah PATEL). Les services sous-jacents sont fournis par 	(Denis TEYSSOU, Bertrand GOUPIL, Dominique FERRANDINI, Laurent LACROIX, Eric SCHAEFFER, Jean-Michel LEUNG, Nathan GOYAT, Axel VIGNY, Juliette CASTERAN, Thibault LHUILLIER, Duyen THI DO, Anatole ROULET, Marius POPARASCU, Enrique NIETO ARRANZ y Muneerah PATEL). Los servicios sub-yacentes son prestados por 	(Denis TEYSSOU, Jean-Michel LEUNG, Nathan GOYAT, Bertrand GOUPIL, Axel VIGNY, Laurent LACROIX, Juliette Casteran, Thibault LHUILLIER, Anatole ROULET, Marius POPARASCU, Enrique NIETO ARRANZ και Muneerah PATEL). Οι υποκείμενες υπηρεσίες παρέχονται από το 
iti_link	http://mklab.iti.gr/	http://mklab.iti.gr/	http://mklab.iti.gr/	http://mklab.iti.gr/
iti_link_label	Thessaloniki Information Technologies Institute	Thessaloniki Information Technologies Institute	Thessaloniki Information Technologies Institute	Ινστιτούτο Τεχνολογιών Πληροφορικής και Επικοινωνιών
developed_text_part_3	 (ITI, CERTH), 	 (ITI, CERTH), 	 (ITI, CERTH), 	(ΙΠΤΗΛ, ΕΚΕΤΑ) 
lleida_link	http://griho.udl.cat/	http://griho.udl.cat/	http://griho.udl.cat/	http://griho.udl.cat/
lleida_link_label	 the University de Lleida (Spain) 	 l'Université de Lleida (Espagne)	 la Universitat de Lleida	Πανεπιστήμιο του Lleida
borelli_link	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli	https://ens-paris-saclay.fr/recherche/laboratoires-et-instituts/centre-borelli	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli
borelli_link_label	 and Borelli Center	et Centre Borelli	 y Centro Borelli	 και Borelli Center
developed_text_part_4	. The Assistant feature is developed by 	. L'Assistant a été développé par 	. El Asistente fue desarrollado por 	. Το βοηθητικό χαρακτηριστικό αναπτύσσεται από
usfd_link	https://gate.ac.uk/	https://gate.ac.uk/	https://gate.ac.uk/	https://gate.ac.uk/
usfd_link_label	 the University of Sheffield.	 l'université de Sheffield.	 la universidad de Sheffield.	 Το Πανεπιστήμιο του Σέφιλντ.
about_human_rights	For Human Rights defenders	Pour les défenseurs des Droits de l'Homme	Para los defensores de los Derechos Humanos	Για υπερασπιστές των ανθρωπίνων δικαιωμάτων
quiz_unlock_explanations	Unlock Interactive explanations	Déverrouiller les explications de interactif	Desbloquear las explicaciones de la prueba	Ξεκλείδωμα διαδραστικών εξηγήσεων
cookies_usage	Accept Google Analytics	Accepter Google Analytics	Aceptar Google Analytics	Αποδοχή του Google Analytics
storage_usage	Keep my preferences	Conserver mes préférences	Conserver mis preferencias	Κρατήστε τις προτιμήσεις μου
